Time (EST),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:52 AM,60.1 °F,57.9 °F,93%,30.03 in,7.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
12:52 PM,66.2 °F,57.2 °F,73%,30.05 in,10.0 mi,SW,9.2 mph,  -,N/A,	 ,Overcast
1:52 PM,68.0 °F,55.9 °F,65%,30.02 in,10.0 mi,SSW,8.1 mph,  -,N/A,	 ,Overcast
2:52 PM,69.1 °F,55.0 °F,61%,30.00 in,10.0 mi,SW,6.9 mph,  -,N/A,	 ,Mostly Cloudy
3:52 PM,70.0 °F,54.0 °F,57%,30.01 in,10.0 mi,SW,6.9 mph,  -,N/A,	 ,Mostly Cloudy
4:52 PM,69.1 °F,53.1 °F,57%,30.01 in,10.0 mi,WSW,6.9 mph,  -,N/A,	 ,Mostly Cloudy
5:52 PM,64.9 °F,53.1 °F,65%,30.01 in,10.0 mi,SSW,5.8 mph,  -,N/A,	 ,Mostly Cloudy
6:52 PM,63.0 °F,53.1 °F,70%,30.00 in,10.0 mi,South,4.6 mph,  -,N/A,	 ,Mostly Cloudy
7:52 PM,62.1 °F,52.0 °F,70%,30.00 in,10.0 mi,South,5.8 mph,  -,N/A,	 ,Mostly Cloudy
8:52 PM,61.0 °F,52.0 °F,72%,30.00 in,10.0 mi,South,6.9 mph,  -,N/A,	 ,Mostly Cloudy
9:52 PM,61.0 °F,54.0 °F,78%,29.99 in,10.0 mi,South,8.1 mph,  -,N/A,	 ,Overcast
10:52 PM,60.1 °F,55.0 °F,83%,29.98 in,10.0 mi,SSW,5.8 mph,  -,N/A,	 ,Overcast
11:52 PM,60.1 °F,55.0 °F,83%,29.96 in,10.0 mi,South,3.5 mph,  -,N/A,	 ,Mostly Cloudy
